,len,num_of_ray_hit,time,color
0,lenses[0],9,0,700.0
1,lenses[1],5,0,700.0
2,lenses[2],0,0,0
3,lenses[3],0,0,0
4,lenses[4],0,0,0
5,len0,0,0,0
6,lenses[0],9,1,700.0
7,lenses[1],5,1,700.0
8,lenses[2],0,1,0
9,lenses[3],0,1,0
10,lenses[4],0,1,0
11,len0,0,1,0
12,lenses[0],9,2,700.0
13,lenses[1],5,2,700.0
14,lenses[2],0,2,0
15,lenses[3],0,2,0
16,lenses[4],0,2,0
17,len0,0,2,0
18,lenses[0],9,3,700.0
19,lenses[1],5,3,700.0
20,lenses[2],0,3,0
21,lenses[3],0,3,0
22,lenses[4],0,3,0
23,len0,0,3,0
24,lenses[0],9,4,700.0
25,lenses[1],5,4,700.0
26,lenses[2],0,4,0
27,lenses[3],0,4,0
28,lenses[4],0,4,0
29,len0,0,4,0
30,lenses[0],9,5,700.0
31,lenses[1],5,5,700.0
32,lenses[2],0,5,0
33,lenses[3],0,5,0
34,lenses[4],0,5,0
35,len0,0,5,0
36,lenses[0],9,6,700.0
37,lenses[1],5,6,700.0
38,lenses[2],0,6,0
39,lenses[3],0,6,0
40,lenses[4],0,6,0
41,len0,0,6,0
42,lenses[0],9,7,700.0
43,lenses[1],5,7,700.0
44,lenses[2],0,7,0
45,lenses[3],0,7,0
46,lenses[4],0,7,0
47,len0,0,7,0
48,lenses[0],9,8,700.0
49,lenses[1],5,8,700.0
50,lenses[2],0,8,0
51,lenses[3],0,8,0
52,lenses[4],0,8,0
53,len0,0,8,0
54,lenses[0],9,9,700.0
55,lenses[1],5,9,700.0
56,lenses[2],0,9,0
57,lenses[3],0,9,0
58,lenses[4],0,9,0
59,len0,0,9,0
60,lenses[0],9,10,700.0
61,lenses[1],5,10,700.0
62,lenses[2],0,10,0
63,lenses[3],0,10,0
64,lenses[4],0,10,0
65,len0,0,10,0
66,lenses[0],9,11,700.0
67,lenses[1],5,11,700.0
68,lenses[2],0,11,0
69,lenses[3],0,11,0
70,lenses[4],0,11,0
71,len0,0,11,0
72,lenses[0],9,12,700.0
73,lenses[1],5,12,700.0
74,lenses[2],0,12,0
75,lenses[3],0,12,0
76,lenses[4],0,12,0
77,len0,0,12,0
78,lenses[0],9,13,700.0
79,lenses[1],5,13,700.0
80,lenses[2],0,13,0
81,lenses[3],0,13,0
82,lenses[4],0,13,0
83,len0,0,13,0
84,lenses[0],9,14,700.0
85,lenses[1],5,14,700.0
86,lenses[2],0,14,0
87,lenses[3],0,14,0
88,lenses[4],0,14,0
89,len0,0,14,0
90,lenses[0],9,15,700.0
91,lenses[1],5,15,700.0
92,lenses[2],0,15,0
93,lenses[3],0,15,0
94,lenses[4],0,15,0
95,len0,0,15,0
96,lenses[0],9,16,700.0
97,lenses[1],5,16,700.0
98,lenses[2],0,16,0
99,lenses[3],0,16,0
100,lenses[4],0,16,0
101,len0,0,16,0
102,lenses[0],9,17,700.0
103,lenses[1],5,17,700.0
104,lenses[2],0,17,0
105,lenses[3],0,17,0
106,lenses[4],0,17,0
107,len0,0,17,0
108,lenses[0],9,18,700.0
109,lenses[1],5,18,700.0
110,lenses[2],0,18,0
111,lenses[3],0,18,0
112,lenses[4],0,18,0
113,len0,0,18,0
114,lenses[0],9,19,700.0
115,lenses[1],5,19,700.0
116,lenses[2],0,19,0
117,lenses[3],0,19,0
118,lenses[4],0,19,0
119,len0,0,19,0
120,lenses[0],9,20,700.0
121,lenses[1],5,20,700.0
122,lenses[2],0,20,0
123,lenses[3],0,20,0
124,lenses[4],0,20,0
125,len0,0,20,0
126,lenses[0],9,21,700.0
127,lenses[1],5,21,700.0
128,lenses[2],0,21,0
129,lenses[3],0,21,0
130,lenses[4],0,21,0
131,len0,0,21,0
132,lenses[0],9,22,700.0
133,lenses[1],5,22,700.0
134,lenses[2],0,22,0
135,lenses[3],0,22,0
136,lenses[4],0,22,0
137,len0,0,22,0
138,lenses[0],9,23,700.0
139,lenses[1],5,23,700.0
140,lenses[2],0,23,0
141,lenses[3],0,23,0
142,lenses[4],0,23,0
143,len0,0,23,0
144,lenses[0],9,24,700.0
145,lenses[1],5,24,700.0
146,lenses[2],0,24,0
147,lenses[3],0,24,0
148,lenses[4],0,24,0
149,len0,0,24,0
150,lenses[0],9,25,700.0
151,lenses[1],5,25,700.0
152,lenses[2],0,25,0
153,lenses[3],0,25,0
154,lenses[4],0,25,0
155,len0,0,25,0
156,lenses[0],9,26,700.0
157,lenses[1],5,26,700.0
158,lenses[2],0,26,0
159,lenses[3],0,26,0
160,lenses[4],0,26,0
161,len0,0,26,0
162,lenses[0],9,27,700.0
163,lenses[1],5,27,700.0
164,lenses[2],0,27,0
165,lenses[3],0,27,0
166,lenses[4],0,27,0
167,len0,0,27,0
168,lenses[0],9,28,700.0
169,lenses[1],5,28,700.0
170,lenses[2],0,28,0
171,lenses[3],0,28,0
172,lenses[4],0,28,0
173,len0,0,28,0
174,lenses[0],9,29,700.0
175,lenses[1],5,29,700.0
176,lenses[2],0,29,0
177,lenses[3],0,29,0
178,lenses[4],0,29,0
179,len0,0,29,0
180,lenses[0],9,30,700.0
181,lenses[1],5,30,700.0
182,lenses[2],0,30,0
183,lenses[3],0,30,0
184,lenses[4],0,30,0
185,len0,0,30,0
186,lenses[0],9,31,700.0
187,lenses[1],5,31,700.0
188,lenses[2],0,31,0
189,lenses[3],0,31,0
190,lenses[4],0,31,0
191,len0,0,31,0
192,lenses[0],9,32,250.0
193,lenses[1],5,32,250.0
194,lenses[2],0,32,0
195,lenses[3],0,32,0
196,lenses[4],0,32,0
197,len0,0,32,0
198,lenses[0],9,33,250.0
